key,scancode,modifiers,output_codepoints,source
1,02,base,17E1,nida.xml KBDKNI
1,02,shift,0021,nida.xml KBDKNI
1,02,altgr,200C,nida.xml KBDKNI
2,03,base,17E2,nida.xml KBDKNI
2,03,shift,17D7,nida.xml KBDKNI
2,03,altgr,0040,nida.xml KBDKNI
3,04,base,17E3,nida.xml KBDKNI
3,04,shift,0022,nida.xml KBDKNI
3,04,altgr,17D1,nida.xml KBDKNI
4,05,base,17E4,nida.xml KBDKNI
4,05,shift,17DB,nida.xml KBDKNI
4,05,altgr,0024,nida.xml KBDKNI
5,06,base,17E5,nida.xml KBDKNI
5,06,shift,0025,nida.xml KBDKNI
5,06,altgr,20AC,nida.xml KBDKNI
6,07,base,17E6,nida.xml KBDKNI
6,07,shift,17CD,nida.xml KBDKNI
6,07,altgr,17D9,nida.xml KBDKNI
7,08,base,17E7,nida.xml KBDKNI
7,08,shift,17D0,nida.xml KBDKNI
7,08,altgr,17DA,nida.xml KBDKNI
8,09,base,17E8,nida.xml KBDKNI
8,09,shift,17CF,nida.xml KBDKNI
8,09,altgr,002A,nida.xml KBDKNI
9,0A,base,17E9,nida.xml KBDKNI
9,0A,shift,0028,nida.xml KBDKNI
9,0A,altgr,007B,nida.xml KBDKNI
0,0B,base,17E0,nida.xml KBDKNI
0,0B,shift,0029,nida.xml KBDKNI
0,0B,altgr,007D,nida.xml KBDKNI
minus,0C,base,17A5,nida.xml KBDKNI
minus,0C,shift,17CC,nida.xml KBDKNI
minus,0C,altgr,00D7,nida.xml KBDKNI
equal,0D,base,17B2,nida.xml KBDKNI
equal,0D,shift,003D,nida.xml KBDKNI
equal,0D,altgr,17CE,nida.xml KBDKNI
q,10,base,1786,nida.xml KBDKNI
q,10,shift,1788,nida.xml KBDKNI
w,11,base,17B9,nida.xml KBDKNI
w,11,shift,17BA,nida.xml KBDKNI
e,12,base,17C1,nida.xml KBDKNI
e,12,shift,17C2,nida.xml KBDKNI
e,12,altgr,17AF,nida.xml KBDKNI
r,13,base,179A,nida.xml KBDKNI
r,13,shift,17AC,nida.xml KBDKNI
r,13,altgr,17AB,nida.xml KBDKNI
t,14,base,178F,nida.xml KBDKNI
t,14,shift,1791,nida.xml KBDKNI
y,15,base,1799,nida.xml KBDKNI
y,15,shift,17BD,nida.xml KBDKNI
u,16,base,17BB,nida.xml KBDKNI
u,16,shift,17BC,nida.xml KBDKNI
i,17,base,17B7,nida.xml KBDKNI
i,17,shift,17B8,nida.xml KBDKNI
i,17,altgr,17A6,nida.xml KBDKNI
o,18,base,17C4,nida.xml KBDKNI
o,18,shift,17C5,nida.xml KBDKNI
o,18,altgr,17B1,nida.xml KBDKNI
p,19,base,1795,nida.xml KBDKNI
p,19,shift,1797,nida.xml KBDKNI
p,19,altgr,17B0,nida.xml KBDKNI
bracket_left,1A,base,17C0,nida.xml KBDKNI
bracket_left,1A,shift,17BF,nida.xml KBDKNI
bracket_left,1A,altgr,17A9,nida.xml KBDKNI
bracket_right,1B,base,17AA,nida.xml KBDKNI
bracket_right,1B,shift,17A7,nida.xml KBDKNI
bracket_right,1B,altgr,17B3,nida.xml KBDKNI
a,1E,base,17B6,nida.xml KBDKNI
a,1E,shift,17B6 17C6,nida.xml KBDKNI
s,1F,base,179F,nida.xml KBDKNI
s,1F,shift,17C3,nida.xml KBDKNI
